-0.7983 50.3921 1.0202
-0.7891 41.8542 0.0664
-0.7798 27.2615 0.0497
-0.7706 16.9847 0.0452
-0.7613 9.9615 0.0401
-0.7521 5.7146 0.0362
-0.7428 3.0971 0.0301
-0.7336 0.8750 0.0226
-0.7243 0.0000 0.0000
-0.7151 0.4328 0.0222
-0.7058 2.2316 0.0316
-0.6966 3.2462 0.0331
-0.6873 5.0369 0.0437
-0.6781 6.9027 0.0444
-0.6689 7.8805 0.0481
-0.6596 8.9347 0.0579
-0.6504 9.8446 0.0581
-0.6411 10.2479 0.0606
-0.6319 11.3476 0.0672
-0.6226 11.9520 0.0675
-0.6134 12.2041 0.0714
-0.6041 12.6588 0.0763
-0.5949 12.9156 0.0769
-0.5856 13.0223 0.0816
-0.5764 13.2841 0.0845
-0.5671 13.5226 0.0856
-0.5579 13.9186 0.0926
-0.5486 13.6355 0.0936
-0.5394 13.1126 0.0945
-0.5301 12.7008 0.0992
-0.5209 12.3088 0.1000
-0.5116 11.8277 0.1018
-0.5024 11.5051 0.1057
-0.4932 11.2335 0.1062
-0.4839 10.9127 0.1098
-0.4747 10.4985 0.1122
-0.4654 10.0560 0.1129
-0.4562 9.8106 0.1170
-0.4469 9.4330 0.1179
-0.4377 8.9931 0.1192
-0.4284 8.5917 0.1230
-0.4192 8.2174 0.1234
-0.4099 7.7340 0.1257
-0.4007 7.2762 0.1284
-0.3914 6.8940 0.1289
-0.3822 6.6717 0.1322
-0.3729 6.4541 0.1332
-0.3637 6.3293 0.1344
-0.3544 6.0787 0.1379
-0.3452 5.8451 0.1382
-0.3360 5.6316 0.1402
-0.3267 5.4347 0.1426
-0.3175 5.3630 0.1430
-0.3082 5.3180 0.1462
-0.2990 5.3086 0.1471
-0.2897 5.3005 0.1481
-0.2805 5.2578 0.1513
-0.2712 5.3156 0.1517
-0.2620 5.3296 0.1534
-0.2527 5.4296 0.1556
-0.2435 5.5628 0.1560
-0.2342 5.6887 0.1589
-0.2250 5.8522 0.1599
-0.2157 6.0322 0.1607
-0.2065 6.2884 0.1634
-0.1972 6.7099 0.1638
-0.1880 7.1345 0.1656
-0.1787 7.6192 0.1674
-0.1695 8.1326 0.1678
-0.1603 8.6622 0.1706
-0.1510 9.2211 0.1712
-0.1418 9.8688 0.1722
-0.1325 10.5375 0.1748
-0.1233 11.2671 0.1751
-0.1140 11.9892 0.1770
-0.1048 12.7563 0.1786
-0.0955 13.6125 0.1789
-0.0863 14.5593 0.1816
-0.0770 15.6396 0.1819
-0.0678 16.6987 0.1831
-0.0585 17.7788 0.1853
-0.0493 18.9996 0.1855
-0.0400 20.2991 0.1878
-0.0308 21.6276 0.1887
-0.0215 23.0300 0.1893
-0.0123 24.4540 0.1919
-0.0031 25.9071 0.1920
0.0062 27.4980 0.1935
0.0154 29.2125 0.1951
0.0247 30.9322 0.1954
0.0339 32.7837 0.1979
0.0432 34.6801 0.1983
0.0524 36.6964 0.1992
0.0617 38.7593 0.2014
0.0709 40.8787 0.2015
0.0802 43.1104 0.2036
0.0894 45.4604 0.2045
0.0987 47.7715 0.2051
0.1079 50.1350 0.2214
0.1172 52.8948 1.0206
