-0.7613 5.6955 0.5080
-0.7521 2.0269 0.0870
-0.7428 0.1374 0.0425
-0.7336 0.0000 0.0000
-0.7243 0.3381 0.0437
-0.7151 1.0913 0.0559
-0.7058 2.6545 0.1100
-0.6966 4.1578 0.2262
-0.6873 7.2655 1.0004
-0.4192 7.2956 0.6001
-0.4099 5.9272 0.4637
-0.4007 5.4903 0.3614
-0.3914 4.6225 0.2652
-0.3822 3.7524 0.1774
-0.3729 3.1149 0.1320
-0.3637 2.5843 0.0970
-0.3544 2.5343 0.0899
-0.3452 2.1927 0.0762
-0.3360 1.9918 0.0675
-0.3267 1.9881 0.0652
-0.3175 1.7287 0.0593
-0.3082 1.5905 0.0559
-0.2990 1.4085 0.0536
-0.2897 1.3780 0.0521
-0.2805 1.4255 0.0520
-0.2712 1.3849 0.0522
-0.2620 1.4515 0.0536
-0.2527 1.5279 0.0555
-0.2435 1.6561 0.0586
-0.2342 1.8164 0.0615
-0.2250 2.0893 0.0675
-0.2157 2.2874 0.0735
-0.2065 2.5031 0.0823
-0.1972 2.8866 0.0963
-0.1880 3.3557 0.1193
-0.1787 3.6958 0.1460
-0.1695 4.0429 0.1660
-0.1603 4.6396 0.2377
-0.1510 5.0960 0.2916
-0.1418 5.1763 0.3102
-0.1325 7.2086 0.5542
-0.1233 8.6337 0.8090
